ID	TD1	TD2	BM1	TD3	BM2	BM3	TD4	TD5	TD6	BM4	TD7	TD8	BM5	TD9	BM6	BM7	BM8	BM9	TD10	BM10
ID_140276	2.35801e-05	0	0	4.60536e-06	0	2.21394e-07	5.44265e-06	4.91986e-05	3.87552e-06	2.48933e-06	2.24411e-05	2.44546e-06	1.29037e-06	1.58098e-05	0	0	1.89812e-06	0	2.46824e-07	0
ID_140317	3.00924e-05	0	1.80141e-07	9.42416e-06	0	7.43894e-07	8.49284e-06	6.63505e-05	2.19424e-05	1.10481e-05	0.000116883	3.91397e-06	2.88877e-06	1.43247e-05	0	0	1.71709e-06	0	1.04468e-06	0
ID_140350	7.04755e-07	9.11414e-08	0	2.51874e-07	0	0	3.37708e-07	2.75361e-06	0	0	0	3.85095e-07	0	0	0	0	0	0	1.07903e-07	0
ID_140411	0	2.89933e-06	0	0	0	0	2.75693e-06	1.63355e-06	1.29338e-06	0	7.64036e-07	3.09841e-06	0	2.77818e-06	0	0	0	0	0	0
ID_140463	0	0	0	0	0	0	2.62876e-07	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_140472	0	0	0	0	0	0	8.81389e-08	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_140591	0	0	0	4.28312e-08	0	0	0	0	0	0	0	0	0	1.34717e-07	0	0	0	0	0	0
ID_140758	2.78617e-06	0	0	0	0	0	6.73865e-08	0	3.89298e-08	0	0	0	0	8.83407e-07	0	0	0	0	1.56883e-06	0
ID_140776	0	5.37628e-07	1.27795e-06	0	0	0	0	0	1.61345e-06	2.80778e-06	1.44859e-07	0	0	0	7.22646e-06	1.60626e-05	4.84841e-07	0	0	0
ID_140797	0	0	0	9.03432e-08	0	0	0	0	0	0	0	1.78252e-07	0	0	0	0	0	0	0	0
ID_140884	8.9356e-07	5.64063e-05	1.16021e-06	2.85828e-07	0	8.89582e-07	5.71049e-05	1.93218e-05	6.95276e-06	1.33454e-06	7.80278e-06	2.3144e-05	8.64138e-07	2.83767e-06	3.32145e-07	1.8713e-05	0	3.72824e-07	2.13511e-06	1.00321e-06
ID_140886	2.23954e-05	6.77881e-06	4.09285e-07	1.74835e-05	1.36104e-06	7.80007e-07	3.56263e-06	5.41997e-06	2.2007e-05	4.72536e-06	1.48633e-05	1.09862e-05	8.34149e-07	1.06997e-05	3.4117e-07	2.04582e-06	1.39025e-06	3.71668e-07	2.36271e-05	5.55138e-07
ID_140938	1.29412e-07	2.23851e-07	2.78132e-07	1.35554e-07	0	1.11306e-06	0	0	6.93636e-07	9.3289e-07	1.75903e-07	0	0	0	3.64168e-06	0	0	0	0	0
ID_140957	4.60418e-07	4.39778e-05	0	3.98388e-07	0	0	1.36188e-05	2.69567e-06	7.03766e-06	1.43992e-06	4.80424e-06	1.85461e-06	9.56467e-07	2.39613e-06	0	1.07738e-05	3.72137e-07	4.22534e-07	4.02769e-07	0
ID_140960	8.96749e-07	4.83151e-07	1.68402e-05	5.30803e-07	3.91563e-07	1.23646e-07	0	0	3.28719e-08	2.78274e-07	0	0	0	3.05359e-08	4.63304e-06	0	0.000119904	3.10921e-07	1.48597e-07	0
ID_141034	3.25893e-07	0	4.38178e-06	0	5.15255e-06	1.09943e-05	1.30776e-07	0	1.46997e-07	2.9363e-05	0	0	1.46528e-06	0	8.22927e-06	0	3.79943e-06	5.38931e-06	0	3.7813e-07
